quizzes, solutions
070945800080002067300000205850000100607031080090680050049070000102800039000006000,276945813985312467314768295853429176627531984491687352549173628162854739738296541
000400603007000090290706000003009048008020500905100320049003786072080010100005004,851492673637851492294736851723569148418327569965148327549213786372684915186975234
700900003900105000006020710015034020090710068200600000403000000807006092020500036,741968253932175684586423719615834927394712568278659341463291875857346192129587436
000635901063000200000127080080340507907000003050002604010800400025060000608074000,872635941163498275594127386286349517947516823351782694719853462425961738638274159
570030100001009200020460080000850010346702000008000070400006005200005369030007800,574238196861579234923461587792854613346712958158693472419386725287145369635927841
009005030100300056080746020900100403040030000072680010205007001436920008007000090,769215834124398756583746129958172463641539287372684915295867341436921578817453692
870900000095081002204007000000050704030002061057610300603008209001009056020040800,876925143395481672214367985162853794438792561957614328643578219781239456529146837
040000070070903208100604003000050894090060020802001307010582000703000000085700009,349825671576913248128674953631257894497368125852491367914582736763149582285736419
940020038320007000067000095800001009001405600096230074710504000000062350000010800,945126738328957416167843295834671529271495683596238174713584962489762351652319847
060500091080400023300080500800760035950040070046010080001000952004603700200900000,467532891185497623329186547812769435953248176746315289631874952594623718278951364
065380074070605803100020000009030058080009060020140000200700000010902305604003009,965381274472695813138427596749236158381579462526148937293754681817962345654813729
100902703020584069006010000030008041070050000504000200063000052910600007058290004,145962783327584169896317425639728541271456398584139276463871952912645837758293614
070409000860030795005000002031720860650040000900106000002600510300004600080300907,273459186864231795195867432431725869658943271927186354742698513319574628586312947
420830050007020180009040603005910400000306009030002876500007000600000201184090700,426831957357629184819745623765918432248376519931452876592167348673584291184293765
004200910070409350200016400030860204692000500000050037800530109060007000501000020,384275916176489352259316478735861294692743581418952637827534169963127845541698723
305600000071050930020700804057006009000025010240109060000907000010300508806040023,385694172471258936629713854157436289963825417248179365532987641714362598896541723
000006085046300009700042000691000007800070040004635001020000160010907204005080903,132796485546318729789542316691824537853179642274635891927453168318967254465281973
021509006608004070450000103002400050006017900870006040090301004007002090300800700,721539486638124579459768123912483657546217938873956241295371864187642395364895712
000002000380405000040080795006000023820390000105708004097014200000600400008000157,751962348389475612642183795976541823824396571135728964597814236213657489468239157
170004803006090520000500040020000051003082070700000600900256004460008000010307908,175624893346891527289573146824769351653182479791435682938256714467918235512347968
007009080004570290053018040042081607000040001060050030280390560500000900070000012,627439185814576293953218746342981657795643821168752439281397564536124978479865312
590002080807060000004170000008001073070206005052040890400000538060000900001390402,596432781817569324234178659648951273973286145152743896429617538365824917781395462
068000000010003584005004079350000020090020046100607800000040230900500001020038700,468759312719263584235814679356481927897325146142697853571946238983572461624138795
000060043690004207003800010000020906702900005400073000100590084875100000020030060,517269843698314257243857619381425976762981435459673128136592784875146392924738561
401000786000300020800007004009080000050704003160205900006850209082000100500060047,431529786697348521825617394379186452258794613164235978746851239982473165513962847
030470198096050004007000000000001003200060980005098472300010006860940020700000500,532476198196852734487139265948721653273564981615398472359217846861945327724683519
007090400386500100000000562674008000050007309200400000000371908812600005030052000,527196483386524197941783562674938251158267349293415876465371928812649735739852614
905200300000580140003607008408300602060000000070001095200700900030040060017058400,985214376726583149143697258498375612561829734372461895254736981839142567617958423
900310040080400006100025700008500009004930200009067830063080070000000402027001085,972316548385479126146825793738542619614938257259167834563284971891753462427691385
027000680000614700000200053200009078734050000008030006090560010806900400051078900,127395684583614729649287153265149378734856291918732546492563817876921435351478962
050960700820003040073100020006200003980305002100800490000010086000509200014000057,451962738829753641673184529546291873987345162132876495295417386768539214314628957
730100800509000002021600703060040380018000400900300006000004057004026000852009010,736192845589473162421658793265947381318265479947381526693814257174526938852739614
050260800900004503003008160082000070600401058090307010020000000310070096479500000,751263849968714523243958167182695374637421958594387612826149735315872496479536281
050020801049680502700000000010002005065900004020306019408009006030400920000517030,653724891149683572782195643917842365365971284824356719478239156531468927296517438
006005009082690014300407000040708003219000008000000650060004520000069807700130040,476215389582693714391487265645728193219356478837941652963874521124569837758132946
051608002600370001007004390080100700009020608200000530070003040502000003040859200,351698472694372851827514396485136729739425618216987534978263145562741983143859267
706008309300470800250000410009201008000907630503000092085042000400000000060503170,746128359391475826258396417679231548824957631513864792185742963437619285962583174
000120568020750000001000003600009140700530900048600000004000690100205030873060004,497123568326758419581496723635879142712534986948612375254387691169245837873961254
140000075058000400600090102000008017007203900024160050531600009002080040000029700,149832675258716493673495182365948217817253964924167358531674829792381546486529731
093800041002030800070010006004503010050906004260100093000405020008000007016082050,693857241142639875875214936984573612351926784267148593739465128528391467416782359
000000614085000009107029030090503802300007001000800040900060105003201000640050070,239785614485136729167429538794513862328647951516892347972364185853271496641958273
080190050009020000140003000908007010003002006607045902300060581590000600002400703,286194357739526148145783269928637415453912876617845932374269581591378624862451793
560080000000725803008190040003000028801300700047000090700010500204068010090200004,562483179419725863378196245953671428821349756647852391786914532234568917195237684
800001060010400007752003009070300028000050640900040000009000200520790100000680503,894571362316429857752863419475316928238957641961248735689135274523794186147682593
001008703080007450720030106000400090013009000062510800070000648000250030609700200,591648723386127459724935186857462391413879562962513874275391648148256937639784215
290500100003100760605700093000008004300000580070309002000046801584070030901000000,297563148843192765615784293159628374326417589478359612732946851584271936961835427
900000700000638004004050061009463010500001030160290080408700200095002000210000046,986124753751638924324957861879463512542871639163295487438716295695342178217589346
010600008000503406940007020800420007670010054000030090290004680005009001307800000,513642978728593416946187523839425167672918354154736892291374685485269731367851249
020097503890003400006040100000260098200005000047080350031002006002709000950400071,124697583895123467376548129513264798289375614647981352731852946462719835958436271
010000350930000204002007001400093708100025460006000000509864020308200900000500076,614982357937156284852347691425693718183725469796418532579864123368271945241539876
960003471200080006041007008690020000054800010002005730000008590175406000300070000,968253471237184956541967328693721845754839612812645739426318597175496283389572164
024006300607051400030200508400010900312690000000800025005008000071003640200070001,524986317687351492139247568458712936312695784796834125945168273871523649263479851
940010805000000000060780902200600500094002030380004021027043060010800000506090400,942316875758429316163785942271638594694152738385974621827543169419867253536291487
100006002530978010900020507000500700820349600006000090041700300000230800780004005,178456932532978416964123587319562748827349651456817293241785369695231874783694125
002008700704030005009604030805900004100000200930100068000003007671809000000020851,312598746764231985589674132825967314146385279937142568258413697671859423493726851
750600430089002000146500900200307010070010308000820600820406105000091007004000000,752689431389142756146573982298367514675914328431825679827436195563291847914758263
008002905009107000060000430040010302307800060150690000920406070003000800700501600,478362915539147286261958437846715392397824561152693748925486173613279854784531629
005000304069280005837005020108740906000651270020800000600390000043000100500007490,215976384469283715837415629158742936394651278726839541671394852943528167582167493
600010372090800010020706008080054207000690005104007000003000096205300400400580000,648915372597823614321746958986154237732698145154237869813472596275369481469581723
100009803306002004090507200904000000032040067060800100600300020780014600050070091,125469873376182954498537216914756382832941567567823149641395728789214635253678491
190600370067005800004090020200500148005879000630200900000008000701000460520003000,192684375367125894854397621279536148415879236638241957943768512781952463526413789
